English msgid	Turkish msgstr
Select strictly positive follow-up time, a binary outcome with event and censored levels, and at least two candidate predictors.	Kesinlikle pozitif izlem süresi, olay ve sansür düzeyleri tanımlanmış ikili bir sonlanım ve en az iki aday yordayıcı seçiniz.
Selected	Seçildi
Selected Original Predictors	Seçilen özgün yordayıcılar
Selected Predictor Columns	Seçilen yordayıcı sütunları
Selected Variables and Coefficients	Seçilen değişkenler ve katsayılar
Selected censored level ('{level}') is not present in observed outcome data.	Seçilen sansür düzeyi ('{level}') gözlenen sonlanım verisinde yoktur.
Selected event level ('{level}') is not present in observed outcome data.	Seçilen olay düzeyi ('{level}') gözlenen sonlanım verisinde yoktur.
Selected lambda	Seçilen lambda
Selected-refit test p = %.3f	Seçilen değişkenlerle yeniden kurulum testi p = %.3f
Showing {shown} of {total} paths on the original scale, ranked by summed absolute coefficients (not clinical importance). Long legend labels are abbreviated.	Özgün ölçekte {total} yolun {shown} tanesi gösteriliyor; sıralama klinik öneme değil mutlak katsayı toplamına göredir. Uzun gösterge etiketleri kısaltılmıştır.
Some issues require attention before relying on these results.	Bu sonuçlara güvenmeden önce bazı sorunların ele alınması gerekir.
Some rows could not be computed ({detail}). Empty cells mean the model could not be fitted, not that it performed poorly.	Bazı satırlar hesaplanamadı ({detail}). Boş hücreler modelin kötü performansını değil, modelin kurulamadığını belirtir.
Sparse Cox model development with cross-validated L1 penalization.	Çapraz doğrulamalı L1 cezasıyla seyrek Cox modeli geliştirme.
Standard Cox (all variables)	Standart Cox (tüm değişkenler)
Standard Cox on all variables: {message}	Tüm değişkenlerle standart Cox: {message}
Statistic	İstatistik
Status	Durum
Stratified CV Folds Used	Kullanılan tabakalı çapraz doğrulama katları
Stratified cross-validation requires at least 3 events and 3 censored observations. Found {nEvents} events and {nCensored} censored observations. This is a computational minimum, not evidence that the sample is adequate for prediction modeling.	Tabakalı çapraz doğrulama en az 3 olay ve 3 sansürlü gözlem gerektirir. {nEvents} olay ve {nCensored} sansürlü gözlem bulundu. Bu hesaplama açısından asgari koşuldur; örneklemin tahmin modellemesine yeterli olduğunu kanıtlamaz.
Survival Probability	Sağkalım olasılığı
Survival curves split the development sample at its median score. This data-dependent split is descriptive and is not a validated clinical cutoff.	Sağkalım eğrileri geliştirme örneklemini medyan skoruna göre ayırır. Veriye bağlı bu ayrım betimseldir ve doğrulanmış klinik eşik değildir.
"Survival data not available.

Please check that:
• Time and outcome variables are properly selected
• Data contains valid survival information"	Sağkalım verisi mevcut değil. Zaman ve sonlanım değişkenlerinin doğru seçildiğini ve verinin geçerli sağkalım bilgisi içerdiğini kontrol ediniz.
SurvivalT	SağkalımT
The 1-SE rule selects the most regularized value within one standard error of the minimum and may select no predictors.	1-SE kuralı, minimumun bir standart hatası içinde kalan en fazla düzenlileştirilmiş değeri seçer ve hiçbir yordayıcıyı seçmeyebilir.
The PH diagnostic uses an exploratory unpenalized refit of selected columns. It is not a test of post-selection inference for the penalized estimator.	Orantılı hazard tanılaması, seçilen sütunlarla yapılan keşifsel cezasız yeniden kuruluma dayanır. Cezalı tahminleyici için seçim sonrası çıkarım testi değildir.
The apparent development-sample C-index was {cindex}.	Geliştirme örneklemindeki görünür C-indeksi {cindex} idi.
The coefficient summary is a horizontal bar plot: the horizontal axis shows penalized coefficients and the vertical axis shows selected encoded columns.	Katsayı özeti yatay çubuk grafiğidir: yatay eksen cezalı katsayıları, dikey eksen seçilen kodlanmış sütunları gösterir.
The correlation summary could not be computed. This is an unavailable diagnostic, not evidence that collinearity is absent.	Korelasyon özeti hesaplanamadı. Bu, tanılamanın mevcut olmadığını gösterir; çoklu bağlantının olmadığını kanıtlamaz.
The displayed C-index is apparent development performance. Validate the entire modeling process before considering clinical use.	Gösterilen C-indeksi geliştirme verisindeki görünür performanstır. Klinik kullanımı düşünmeden önce tüm modelleme sürecini doğrulayınız.
The exploratory selected-variable refit shows evidence of non-proportional hazards. The Cox effect estimates and selection may be misspecified; investigate time-varying effects or a prespecified alternative model.	Seçilen değişkenlerle yapılan keşifsel yeniden kurulumda orantılı hazard ihlali bulguları vardır. Cox etki tahminleri ve seçim yanlış belirlenmiş olabilir; zamana bağlı etkileri veya önceden belirlenmiş alternatif bir modeli araştırınız.
The first observed level in the supplied factor order is the reference; character levels are sorted. Global and custom contrasts are overridden. Indicators are penalized and selected separately, not as whole factors.	Verilen faktör sırasındaki ilk gözlenen düzey referanstır; karakter düzeyleri sıralanır. Genel ve özel kontrast ayarları geçersiz kılınır. Göstergeler tüm faktör olarak değil ayrı ayrı cezalandırılır ve seçilir.
The horizontal axis is log lambda; the vertical axis is cross-validated partial-likelihood deviance. Lower deviance is better for this tuning criterion.	Yatay eksen log lambda, dikey eksen çapraz doğrulamalı kısmi olabilirlik sapmasıdır. Bu ayarlama ölçütünde daha düşük sapma daha iyidir.
The minimum-error and 1-SE rules are tuning choices. An empty model selected by the requested rule is preserved.	Minimum hata ve 1-SE kuralları ayarlama seçenekleridir. İstenen kuralın seçtiği boş model korunur.
The model selected {nSelected} of {nTotal} encoded columns: {varList}.	Model {nTotal} kodlanmış sütunun {nSelected} tanesini seçti: {varList}.
The path legend uses a compact layout and abbreviates long names. Predictor encoding lists the complete design-column names.	Yol göstergesi sıkıştırılmış bir düzen kullanır ve uzun adları kısaltır. Yordayıcı kodlaması tablosu tasarım sütunlarının tam adlarını listeler.
The score is the sum of encoded predictor values multiplied by their penalized coefficients. Higher scores indicate higher fitted hazard.	Skor, kodlanmış yordayıcı değerleriyle cezalı katsayılarının çarpımlarının toplamıdır. Daha yüksek skor, daha yüksek tahmini hazardı gösterir.
The selected cross-validation rule did not produce a valid positive lambda.	Seçilen çapraz doğrulama kuralı geçerli pozitif bir lambda üretmedi.
The selected cross-validation rule produced a valid empty model. No less-penalized model was substituted.	Seçilen çapraz doğrulama kuralı geçerli bir boş model üretti. Yerine daha az cezalandırılmış bir model kullanılmadı.
The selected lambda and the full-data coefficients come from the same fitted path, with Breslow handling of tied event times.	Seçilen lambda ve tam verideki katsayılar aynı model yolundan gelir; eşit olay zamanları Breslow yöntemiyle ele alınır.
The selected lambda retained no predictor columns, so there is no fitted predictor effect for a Schoenfeld-residual diagnostic.	Seçilen lambda hiçbir yordayıcı sütununu korumadı; dolayısıyla Schoenfeld artıkları tanılaması için tahmin edilmiş bir yordayıcı etkisi yoktur.
The selected rule retained no predictor columns; this valid empty model was preserved.	Seçilen kural hiçbir yordayıcı sütununu korumadı; bu geçerli boş model korundu.
The selected-variable Schoenfeld-residual diagnostic could not be computed. This is an unavailable diagnostic, not evidence that proportional hazards holds.	Seçilen değişkenlerle Schoenfeld artıkları tanılaması hesaplanamadı. Bu, tanılamanın mevcut olmadığını gösterir; orantılı hazard varsayımının sağlandığını kanıtlamaz.
The separate coefficient-path plot shows coefficients against log lambda, with full-model nonzero counts on its upper axis.	Ayrı katsayı yolu grafiği katsayıları log lambdaya karşı gösterir; üst eksende tam modeldeki sıfır olmayan sütun sayıları yer alır.
The {rule} rule retained no predictor columns. The valid empty model has been preserved; choose a different lambda rule only as a prespecified modeling decision, not because the empty result is inconvenient.	{rule} kuralı hiçbir yordayıcı sütununu korumadı. Geçerli boş model korundu; farklı bir lambda kuralını boş sonucu beğenmediğiniz için değil yalnızca önceden belirlenmiş bir modelleme kararı olarak seçiniz.
There are {nEvents} events for {nColumns} encoded predictor columns. Regularization permits fitting in this setting but does not guarantee stable selection or performance; use resampling that repeats the entire modeling process.	{nColumns} kodlanmış yordayıcı sütunu için {nEvents} olay vardır. Düzenlileştirme model kurulmasını sağlar, ancak kararlı seçimi veya performansı garanti etmez; tüm modelleme sürecini tekrarlayan yeniden örnekleme kullanınız.
These curves do not estimate an individual patient's absolute risk. External use requires a frozen prediction model and independent validation.	Bu eğriler tek bir hastanın mutlak riskini tahmin etmez. Dış kullanım için sabitlenmiş bir tahmin modeli ve bağımsız doğrulama gerekir.
This C-index is apparent (training) performance from the same patients used for preprocessing, penalty selection, and model fitting. Its uncertainty does not include the modeling process. Use bootstrap optimism correction or nested cross-validation that repeats all preprocessing and tuning, followed by external validation before clinical use.	Bu C-indeksi ön işleme, ceza seçimi ve model kurulumu için kullanılan aynı hastalardaki görünür (eğitim) performanstır. Belirsizliği modelleme sürecini içermez. Klinik kullanımdan önce tüm ön işleme ve ayarlamayı tekrarlayan bootstrap iyimserlik düzeltmesi veya iç içe çapraz doğrulama, ardından dış doğrulama kullanınız.
This analysis fits a sparse development model. Its apparent performance and median-split survival curves require validation before clinical use.	Bu analiz seyrek bir geliştirme modeli kurar. Görünür performansı ve medyana göre ayrılan sağkalım eğrileri klinik kullanımdan önce doğrulama gerektirir.
This assessment is advisory and cannot establish model adequacy. The analysis proceeds regardless of the verdict. Green = no issue detected by this limited check, Yellow = proceed with caution, Red = results may be highly unstable or misspecified.	Bu değerlendirme yol göstericidir ve model yeterliliğini kanıtlayamaz. Sonuç ne olursa olsun analiz devam eder. Yeşil: sınırlı kontrolde sorun saptanmadı; sarı: dikkatli ilerleyiniz; kırmızı: sonuçlar çok kararsız veya yanlış belirlenmiş olabilir.
This output is for model development only. Use bootstrap optimism correction or nested cross-validation that repeats preprocessing and tuning, followed by external validation, before considering clinical use.	Bu çıktı yalnızca model geliştirme içindir. Klinik kullanımı düşünmeden önce ön işleme ve ayarlamayı tekrarlayan bootstrap iyimserlik düzeltmesi veya iç içe çapraz doğrulama, ardından dış doğrulama kullanınız.
Tie handling	Eşit zamanların ele alınışı
Time	Zaman
Time and outcome cannot also be predictors: {vars}. Use predictors available at the intended prediction time.	Zaman ve sonlanım aynı zamanda yordayıcı olamaz: {vars}. Hedeflenen tahmin anında mevcut olan yordayıcıları kullanınız.
Time and outcome must be different variables.	Zaman ve sonlanım farklı değişkenler olmalıdır.
Time variable contains negative values. This Cox engine requires strictly positive follow-up times.	Zaman değişkeni negatif değerler içeriyor. Bu Cox motoru kesinlikle pozitif izlem süreleri gerektirir.
Time variable contains non-finite values after filtering. Please correct the input.	Süzme sonrasında zaman değişkeninde sonlu olmayan değerler var. Girdiyi düzeltiniz.
Time variable contains zero values. This Cox engine requires strictly positive follow-up times. Check the time origin and measurement resolution; times have not been automatically adjusted.	Zaman değişkeni sıfır değerler içeriyor. Bu Cox motoru kesinlikle pozitif izlem süreleri gerektirir. Zaman başlangıcını ve ölçüm çözünürlüğünü kontrol ediniz; süreler otomatik olarak değiştirilmedi.
To Do	Yapılacaklar
Too few complete cases for analysis ({n}). Need at least 10 complete observations.	Analiz için çok az tam olgu var ({n}). En az 10 tam gözlem gerekir.
Top pairs:	Öne çıkan çiftler:
Treatment indicators	Referans kategori göstergeleri
Unable to create two risk groups from risk scores.	Risk skorlarından iki risk grubu oluşturulamadı.
Understanding Cross-Validation Plot	Çapraz doğrulama grafiğini anlama
Understanding LASSO Cox Regression	LASSO Cox regresyonunu anlama
Understanding LASSO Cox regression	LASSO Cox regresyonunu anlama
Understanding Risk Scores and Survival Curves	Risk skorlarını ve sağkalım eğrilerini anlama
Understanding coefficients and paths	Katsayıları ve yolları anlama
Understanding risk scores and survival curves	Risk skorlarını ve sağkalım eğrilerini anlama
Understanding the Coefficient Summary Plot	Katsayı özeti grafiğini anlama
Understanding the cross-validation plot	Çapraz doğrulama grafiğini anlama
Unpenalized refit after LASSO selection	LASSO seçimi sonrası cezasız yeniden kurulum
Use <strong>Multivariable Survival</strong> in ClinicoPath for standard Cox regression with fewer predictors.	Daha az yordayıcıyla standart Cox regresyonu için ClinicoPath içindeki <strong>Çok Değişkenli Sağkalım</strong> analizini kullanınız.
Value	Değer
Variable	Değişken
Variable Importance Analysis	Değişken önemi analizi
Variable importance	Değişken önemi
Variables	Değişkenler
Very low event information per encoded candidate column. Expect unstable selection and optimistic apparent performance; consider reducing prespecified candidates or collecting more outcome information.	Kodlanmış aday sütun başına olay bilgisi çok düşüktür. Kararsız seçim ve iyimser görünür performans beklenir; önceden belirlenen adayları azaltmayı veya daha fazla sonlanım bilgisi toplamayı düşününüz.
Welcome to Lasso-Cox Regression	LASSO-Cox regresyonuna hoş geldiniz
With very small samples, consider univariable analyses or use <strong>Survival Analysis</strong> in ClinicoPath.	Çok küçük örneklemlerde tek değişkenli analizleri veya ClinicoPath içindeki <strong>Sağkalım Analizi</strong> seçeneğini düşününüz.
Yes	Evet
glmnet standardizes within each training fit when requested. Displayed coefficients are returned on the original predictor scale.	İstendiğinde glmnet her eğitim modeli içinde standartlaştırma yapar. Gösterilen katsayılar özgün yordayıcı ölçeğine geri dönüştürülür.
glmnet version	glmnet sürümü
none	yok
not available	mevcut değil
survival version	survival sürümü
survminer is unavailable. Survival curves use the base-R fallback without a risk table.	survminer mevcut değil. Sağkalım eğrileri risk tablosu olmadan temel R grafiğiyle gösterilir.
{n} rows excluded; {constants} constant predictors or columns removed	{n} satır dışlandı; {constants} sabit yordayıcı veya sütun çıkarıldı
